OBJECTID,Title,Description,LON,LAT,Image URL,Link URL,Link Label,SOURCE,STATUS_1
3605,נתניה,תחנת רכבת נתניה,34.86917201,32.31996333,Image,Link,לפרוייקטים בתחנה/מקטע,נת/ 400/ 7,נוסעים
3606,ירושלים מלחה,תחנת רכבת ירושלים מלחה,35.18808882,31.74774539,Image,Link,לפרוייקטים בתחנה/מקטע,3419/ א,נוסעים
3607,תל אביב - השלום,תחנת רכבת תל אביב - השלום,34.79314027,32.07344749,Image,Link,לפרוייקטים בתחנה/מקטע,1205,נוסעים
3608,תל אביב - ההגנה,תחנת רכבת תל אביב - ההגנה,34.78474539,32.05407699,Image,Link,לפרוייקטים בתחנה/מקטע,1205,נוסעים
3609,תל אביב - אוניברסיטה,תחנת רכבת תל אביב - אוניברסיטה,34.80454185,32.10359285,Image,Link,לפרוייקטים בתחנה/מקטע,1205,נוסעים
3610,תל אביב - דרום (הולץ),תחנת רכבת תל אביב - דרום (הולץ),34.78746693,32.04400892,Image,Link,לפרוייקטים בתחנה/מקטע,תגפ/ 547,תפעולית
3611,הרצליה,תחנת רכבת הרצליה,34.81837682,32.1637356,Image,Link,לפרוייקטים בתחנה/מקטע,"תמא/ 23/ 12, תתל/ 15",נוסעים
3612,כפר ויתקין,תחנת רכבת כפר ויתקין,34.88930826,32.38402428,Image,Link,לפרוייקטים בתחנה/מקטע,עח/ 200,תפעולית
3613,בית יהושוע,תחנת רכבת בית יהושוע,34.86004432,32.26242048,Image,Link,לפרוייקטים בתחנה/מקטע,חש/ 10/ 2,נוסעים
3614,בני ברק,תחנת רכבת בני ברק,34.83007238,32.10303052,,,לפרוייקטים בתחנה/מקטע,"בב/ 572, צו 1, צו 29",נוסעים
3615,עכו,תחנת רכבת עכו,35.08288815,32.92822333,,,לפרוייקטים בתחנה/מקטע,"צו 11, ג/ 12042",נוסעים
3616,נהריה,תחנת רכבת נהריה,35.09865072,33.00494644,,,לפרוייקטים בתחנה/מקטע,"צו 11, ג/ 15798",נוסעים
3617,קיסריה פרדס חנה,תחנת רכבת קיסריה פרדס חנה,34.95398922,32.48529748,,,לפרוייקטים בתחנה/מקטע,"צו 19, ג/ 322/ ב",נוסעים
3618,צפע,תחנת רכבת צפע,35.19022433,31.0566875,,,לפרוייקטים בתחנה/מקטע,"35 /100 /02 /10, צו 34",מסוף מטענים
3619,ראש העין צפון,תחנת רכבת ראש העין צפון,34.93471573,32.12074554,,,לפרוייקטים בתחנה/מקטע,תתל/22,נוסעים
3620,פאתי מודיעין,תחנת רכבת פאתי מודיעין,34.9607187,31.89359364,,,לפרוייקטים בתחנה/מקטע,צו 56,נוסעים
3622,שדרות,תחנת רכבת שדרות,34.58691323,31.51565872,,,לפרוייקטים בתחנה/מקטע,"צו 71, תתל/ 4/ 14/ ב",נוסעים
3623,נתיבות,תחנת רכבת נתיבות,34.57161941,31.41132641,,,לפרוייקטים בתחנה/מקטע,"צו 72, תתל/ 4/ 14/ ב",נוסעים
3624,אשדוד עד הלום,תחנת רכבת אשדוד עד הלום,34.66600075,31.7739465,,,לפרוייקטים בתחנה/מקטע,ד/82/101/02/3,נוסעים
3625,כפר סבא נורדאו,תחנת רכבת כפר סבא נורדאו,34.91730506,32.16740761,,,לפרוייקטים בתחנה/מקטע,הר/113/2,נוסעים
3626,רחובות,תחנת רכבת רחובות,34.80633314,31.9085803,,,לפרוייקטים בתחנה/מקטע,מח/120,נוסעים
3627,עתלית,תחנת רכבת עתלית,34.94036826,32.6928254,,,לפרוייקטים בתחנה/מקטע,ג/ 555,נוסעים
3628,רמלה,תחנת רכבת רמלה,34.87718542,31.92876959,,,לפרוייקטים בתחנה/מקטע,תתל/ 9/ 3,נוסעים
3629,נען,תחנת רכבת נען,34.86924976,31.86788446,,,לפרוייקטים בתחנה/מקטע,תתל/ 3/ 4/ 9/ א,תפעולית
3630,החותרים,תחנת רכבת החותרים,34.95261154,32.75115714,,,לפרוייקטים בתחנה/מקטע,מפת ענפים,תפעולית
3631,דימונה,תחנת רכבת דימונה,35.01141508,31.06920664,,,לפרוייקטים בתחנה/מקטע,תכנית 607-0320622,נוסעים
3632,דור,תחנת רכבת דור,34.92815217,32.62326685,,,לפרוייקטים בתחנה/מקטע,מפת ענפים,תפעולית
3633,חיפה חוף הכרמל,תחנת רכבת חיפה חוף הכרמל,34.95746004,32.79346942,,,לפרוייקטים בתחנה/מקטע,חפ/ 1332/ ט/ 1,נוסעים
3634,בית שמש,תחנת רכבת בית שמש,34.98944647,31.75774009,,,לפרוייקטים בתחנה/מקטע,בש/ 200,נוסעים
3635,רינתיה,תחנת רכבת רינתיה,34.935872,32.04168081,,,לפרוייקטים בתחנה/מקטע,מפת ענפים,בתכנון
3637,זכרון יעקב,תחנת רכבת זכרון יעקב,34.93165887,32.57092052,,,לפרוייקטים בתחנה/מקטע,תתל/ 65/ א,תפעולית
3638,חוצות המפרץ,תחנת רכבת חוצות המפרץ,35.05445336,32.80936964,,,לפרוייקטים בתחנה/מקטע,חפ/ 222,נוסעים
3639,כפר יהושע,תחנת רכבת כפר יהושע,35.15371618,32.67161363,,,לפרוייקטים בתחנה/מקטע,תחנה הסטורית,הסטורית
3640,גבע,תחנת רכבת גבע,35.36326169,32.55654663,,,לפרוייקטים בתחנה/מקטע,תחנה הסטורית,הסטורית
3641,"כפר חב""ד","תחנת רכבת כפר חב""ד",34.85294381,31.99312455,,,לפרוייקטים בתחנה/מקטע,גז/ 525/ 12,נוסעים
3642,פתח תקווה סגולה,תחנת רכבת פתח תקווה סגולה,34.90122547,32.11199621,,,לפרוייקטים בתחנה/מקטע,"מח/ 113, תמא/ 47/ ג/ 1/ 2",נוסעים
3643,בת ים יוספטל,תחנת רכבת בת ים יוספטל,34.76204519,32.01452306,,,לפרוייקטים בתחנה/מקטע,תדמת/ 2001,נוסעים
3644,חולון וולפסון,תחנת רכבת חולון וולפסון,34.75963487,32.03534397,,,לפרוייקטים בתחנה/מקטע,תדמת/ 2001,נוסעים
3645,שער צומת חולון,תחנת רכבת שער צומת חולון,34.77640771,32.03704393,,,לפרוייקטים בתחנה/מקטע,תדמת/ 2001,נוסעים
3646,בת ים קוממיות,תחנת רכבת בת ים קוממיות,34.75941616,32.000866,,,לפרוייקטים בתחנה/מקטע,תדמת/ 2001,נוסעים
3647,ראשון לציון הראשונים,תחנת רכבת ראשון לציון הראשונים,34.80260551,31.94887902,,,לפרוייקטים בתחנה/מקטע,413-0351288,נוסעים
3648,יסודות,תחנת רכבת יסודות,34.84428297,31.81920472,,,לפרוייקטים בתחנה/מקטע,צו 4,הסטורית
3649,קרית מלאכי יואב,תחנת רכבת קרית מלאכי יואב,34.82199545,31.74692391,,,לפרוייקטים בתחנה/מקטע,תתל/ 3/ 4/ 9/ א,נוסעים
